timestamp,queries_num,queries_requested,errors_occurred,iter_errors_occurred,average_latency,99_9_latency_percentile,mean_rate,one_minute_rate,five_minute_rate,fifteen_minute_rate,total_connections,connection_timeouts,requests_timeouts,count,min,max,mean,std_dev,median,75th_percentile,95th_percentile,98th_percentile,99th_percentile,99_9th_percentile,d_min,d_max,d_mean,d_std_dev,d_median,d_75th_percentile,d_95th_percentile,d_98th_percentile,d_99th_percentile,d_99_9th_percentile,w_min,w_max,w_mean,w_std_dev,w_median,w_75th_percentile,w_95th_percentile,w_98th_percentile,w_99th_percentile,w_99_9th_percentile
1770421258,57623,0,0,0,11,1,2.4901849155648086,2.5041642570745513,2.5008333252602863,2.5002773302420986,2,1324,0,57623,7,562,11.727348454610107,16.446499252913025,9,10,17,31,65,247.04333333333489,8,34,9.554250172771235,1.24670835245063,9,10,11,11,14,31.657999999999674,9,15,9.803333333333333,0.8408402125845427,10,10,11,13.319999999999936,14,15
1770421259,57626,0,0,0,11,1,2.4902067382330024,2.495835742925454,2.499166696987402,2.499721778590894,2,1324,0,57626,7,562,11.72725852913612,16.446075861220354,9,10,17,31,65,247.0403333333379,8,34,9.55517241379309,1.245581897294821,9,10,11,11,14,31.648999999999205,9,15,9.803333333333333,0.8408402125845427,10,10,11,13.319999999999936,14,15
1770421260,57628,0,0,0,11,1,2.4901856338714814,2.495835742925454,2.499166696987402,2.499721778590894,2,1324,0,57628,7,562,11.727215936697405,16.445792323351704,9,10,17,31,65,247.0383333333375,8,34,9.556473829201087,1.2453550212210307,9,10,11,11,14,31.642999999999347,9,15,9.806666666666665,0.8436000785506471,10,10,11,13.319999999999936,14,15
1770421261,57631,0,0,0,11,1,2.4902077308287907,2.495835742925454,2.499166696987402,2.499721778590894,2,1324,0,57631,7,562,11.727091322378547,16.445373686068905,9,10,17,31,65,247.03533333334053,8,34,9.556013745704453,1.2442950639371269,9,10,11,11,14,31.63399999999956,9,15,9.803333333333333,0.8448083962117808,10,10,11,13.319999999999936,14,15
1770421262,57633,0,0,0,11,1,2.4901860565374787,2.495835742925454,2.499166696987402,2.499721778590894,2,1324,0,57633,7,562,11.727031388267104,16.445091479298547,9,10,17,31,65,247.03333333334012,8,34,9.556623198352765,1.2435488989598777,9,10,11,11,14,31.6279999999997,9,15,9.806666666666665,0.8436000785506471,10,10,11,13.319999999999936,14,15
1770421263,57636,0,0,0,11,1,2.490208504904762,2.495835742925454,2.499166696987402,2.499721778590894,2,1324,0,57636,7,562,11.726906794364599,16.444672895577753,9,10,17,31,65,247.03033333333588,8,34,9.55616438356163,1.2424948151579038,9,10,11,11,14,31.618999999999232,9,15,9.803333333333333,0.8448083962117808,10,10,11,13.319999999999936,14,15
1770421264,57638,0,0,0,11,1,2.490187318232456,2.5041642570745513,2.5008333248925645,2.500277335179299,2,1324,0,57638,7,562,11.726829522190187,16.444393074377153,9,10,17,31,65,247.02833333333547,8,34,9.556087551299575,1.2417836250269065,9,10,11,11,14,31.612999999999374,9,15,9.799999999999997,0.8460018106039435,10,10,11,13.319999999999936,14,15
1770421265,57641,0,0,0,11,1,2.4902094765113723,2.5041642570745513,2.5008333248925645,2.500277335179299,2,1324,0,57641,7,562,11.726704949601812,16.44397454401303,9,10,17,31,65,247.0253333333385,8,34,9.555631399317392,1.2407350745598023,9,10,11,11,14,31.603999999999587,9,15,9.793333333333333,0.8483441803793437,10,10,11,13.319999999999936,14,15
1770421266,57643,0,0,0,11,1,2.4901882592061995,2.5041642570745513,2.5008333248925645,2.500277335179299,2,1324,0,57643,7,562,11.726610342973094,16.44369710761751,9,10,17,31,65,247.0233333333381,8,34,9.554873892297191,1.2400580487639603,9,10,11,11,14,31.59799999999973,9,15,9.79,0.8494932583526617,10,10,11,13.319999999999936,14,15
1770421267,57646,0,0,0,11,1,2.490210093552577,2.5041642570745513,2.5008333248925645,2.500277335179299,2,1324,0,57646,7,562,11.726468445338758,16.443280979324427,9,10,17,31,65,247.0203333333411,8,34,9.553741496598628,1.2390444125791347,9,10,11,11,14,31.58899999999926,9,15,9.779999999999994,0.8528527771730432,10,10,11,13.319999999999936,14,15
